Order ID,Date,Time,Restaurant,Cuisine,Customer ID,Delivery Partner ID,Order Status,Food Item,Quantity,Order Value (INR),Delivery Time (min),Customer Rating,Delivery Partner Rating,Cancellation Reason
ZM100963,11/18/2025,8:30:00 AM,Leon Grill,Bakery,CUST8500,DP593,Cancelled by Partner,Tacos,,,,,,Customer unreachable
ZM100662,11/29/2025,2:24:00 PM,Meghana Foods,Italian,CUST3883,DP829,Delivered,Paneer Butter Masala,3,226.42,36,4.60,3.60,
ZM100810,11/25/2025,9:58:00 PM,Biriyani Zone,Italian,CUST2942,DP536,Cancelled by Customer,Chicken Biryani,,,,,,Change of mind
ZM100088,11/19/2025,3:05:00 AM,Koshy’s,South Indian,CUST1919,DP650,Delivered,Momos,1,466.07,39,4.80,3.10,
ZM100510,11/28/2025,3:04:00 AM,Biriyani Zone,Fast Food,CUST6946,DP543,Delivered,Tacos,2,680.33,27,3.20,4.40,
ZM100909,11/18/2025,10:31:00 PM,Truffles,South Indian,CUST1478,DP582,Cancelled by Restaurant,Burger Combo,,,,,,High demand
ZM100589,12/9/2025,1:47:00 AM,Burger King,Chinese,CUST8287,DP803,Delivered,Paneer Butter Masala,1,498.35,27,3.10,3.50,
ZM100840,11/30/2025,6:38:00 AM,Meghana Foods,North Indian,CUST2878,DP863,Cancelled by Customer,Margherita Pizza,,,,,,Delivery too far
ZM100098,11/15/2025,7:01:00 PM,Taco Bell,South Indian,CUST5295,DP799,Delivered,Momos,4,130.86,54,3.20,3.70,
ZM100419,11/22/2025,7:00:00 AM,WOW Momo,Bakery,CUST7939,DP789,Delivered,Farmhouse Pizza,1,240.73,57,3.50,4.70,
ZM100065,12/3/2025,3:25:00 AM,Beijing Bites,American,CUST1745,DP998,Delivered,Chicken Tikka,3,259.96,20,4.40,3.30,
ZM100973,12/8/2025,5:32:00 PM,Meghana Foods,Bakery,CUST7211,DP587,Cancelled by Partner,Chicken Wings,,,,,,Personal emergency
ZM100309,11/20/2025,10:52:00 PM,WOW Momo,Mexican,CUST1020,DP524,Delivered,Veg Biryani,3,283.55,24,3.70,4.60,
ZM100486,11/27/2025,7:30:00 PM,Meghana Foods,Thai,CUST3209,DP746,Delivered,Burger Combo,3,186.36,52,3.90,4.40,
ZM100156,11/28/2025,2:37:00 AM,Five Star Chicken,Chinese,CUST4048,DP755,Delivered,Fried Rice,3,430.47,37,3.50,3.20,
ZM100735,12/9/2025,6:41:00 PM,Taco Bell,South Indian,CUST6534,DP900,Delivered,Sandwich,1,445.71,56,3.60,3.90,
ZM100615,11/23/2025,7:31:00 AM,Tunday Kababi,Fast Food,CUST5553,DP600,Delivered,Chicken Biryani,3,162.93,32,4.20,3.40,
ZM100450,11/15/2025,6:27:00 PM,Biriyani Zone,Thai,CUST8126,DP768,Delivered,Chicken Wings,2,876.24,54,3.40,4.20,
ZM100859,11/26/2025,9:51:00 PM,Chianti,Biryani,CUST1217,DP619,Cancelled by Customer,Tacos,,,,,,Ordered by mistake
ZM100773,12/11/2025,12:52:00 PM,Truffles,Chinese,CUST8240,DP528,Cancelled by Customer,Veg Biryani,,,,,,Found cheaper elsewhere
ZM100218,12/8/2025,9:31:00 PM,Barbeque Nation,South Indian,CUST8916,DP837,Delivered,Tacos,2,127.13,52,3.90,3.10,
ZM100261,11/18/2025,3:10:00 AM,Tunday Kababi,Fast Food,CUST4470,DP753,Delivered,Sandwich,1,740.63,45,3.40,3.90,
ZM100408,11/17/2025,4:27:00 PM,Leon Grill,North Indian,CUST4465,DP576,Delivered,Fried Rice,2,463.12,34,3.20,4.30,
ZM100337,12/2/2025,11:14:00 PM,McDonald's,North Indian,CUST1578,DP798,Delivered,Pasta Alfredo,4,898.03,36,4.80,3.80,
ZM100420,12/1/2025,8:53:00 PM,Biriyani Zone,Bakery,CUST8925,DP629,Delivered,Momos,2,442.32,55,4.00,3.70,
ZM100823,12/2/2025,7:26:00 PM,A2B - Adyar Ananda Bhavan,South Indian,CUST2709,DP845,Cancelled by Customer,Paneer Butter Masala,,,,,,Delivery too far
ZM100487,11/25/2025,6:45:00 AM,Onesta,Bakery,CUST8046,DP665,Delivered,Pasta Alfredo,2,557.71,53,3.50,3.10,
ZM100845,11/28/2025,12:13:00 PM,Beijing Bites,North Indian,CUST9721,DP610,Cancelled by Customer,Pasta Alfredo,,,,,,Ordered by mistake
ZM100526,12/8/2025,9:34:00 AM,Empire Restaurant,Fast Food,CUST6050,DP861,Delivered,Burger Combo,2,565.37,44,3.40,3.20,
ZM100822,12/6/2025,1:20:00 PM,Burger King,Bakery,CUST8778,DP555,Cancelled by Customer,Chicken Tikka,,,,,,Change of mind
ZM100269,12/6/2025,2:57:00 AM,KFC,Chinese,CUST3290,DP626,Delivered,Momos,1,579.87,44,3.70,3.90,
ZM100839,12/11/2025,3:46:00 PM,Truffles,Mexican,CUST6630,DP881,Cancelled by Customer,Burger Combo,,,,,,Change of mind
ZM100353,11/17/2025,3:37:00 AM,Onesta,Italian,CUST7713,DP651,Delivered,Noodles,2,726.81,53,4.90,3.70,
ZM100415,11/27/2025,8:59:00 PM,Leon Grill,North Indian,CUST1019,DP959,Delivered,Momos,1,192.69,28,4.80,4.10,
ZM100667,11/25/2025,12:47:00 PM,KFC,Fast Food,CUST3374,DP685,Delivered,Fried Rice,4,490.39,35,4.90,4.80,
ZM100956,12/4/2025,4:59:00 AM,Biriyani Zone,North Indian,CUST7179,DP996,Cancelled by Partner,Chicken Biryani,,,,,,Vehicle issue
ZM100179,11/26/2025,9:28:00 PM,Leon Grill,Bakery,CUST7861,DP577,Delivered,Paneer Butter Masala,2,144.63,27,3.40,3.90,
ZM100700,11/21/2025,3:47:00 PM,Little Italy,Chinese,CUST8454,DP887,Delivered,Sandwich,4,155.30,46,4.80,3.60,
ZM100924,11/27/2025,1:22:00 PM,Little Italy,North Indian,CUST7427,DP672,Cancelled by Restaurant,Fried Rice,,,,,,Kitchen closed
ZM100383,11/24/2025,6:46:00 PM,Taco Bell,South Indian,CUST3611,DP712,Delivered,Momos,3,529.81,31,4.00,4.60,
ZM100199,12/12/2025,1:30:00 PM,Biriyani Zone,North Indian,CUST9866,DP530,Delivered,Tacos,2,571.08,22,3.80,4.40,
ZM100569,11/16/2025,9:02:00 AM,Little Italy,Mexican,CUST9061,DP555,Delivered,Chicken Biryani,4,883.95,32,4.20,3.40,
ZM100983,12/1/2025,6:46:00 AM,Beijing Bites,American,CUST3190,DP702,Cancelled by Partner,Veg Biryani,,,,,,Vehicle issue
ZM100381,12/7/2025,5:32:00 PM,KFC,Bakery,CUST5178,DP502,Delivered,Veg Biryani,4,337.71,36,3.30,4.20,
ZM100493,12/4/2025,5:48:00 AM,Meghana Foods,American,CUST6901,DP942,Delivered,Chicken Tikka,3,161.41,20,3.10,4.30,
ZM100352,11/29/2025,10:35:00 PM,KFC,Thai,CUST5631,DP558,Delivered,Margherita Pizza,2,446.68,26,4.00,4.20,
ZM100989,11/18/2025,2:38:00 PM,Leon Grill,Chinese,CUST9376,DP595,Cancelled by Partner,Tacos,,,,,,Vehicle issue
ZM100723,11/26/2025,8:50:00 PM,McDonald's,Bakery,CUST6656,DP954,Delivered,Chicken Wings,2,812.31,59,4.60,4.30,
ZM100443,11/24/2025,10:10:00 PM,Burger King,Chinese,CUST2284,DP695,Delivered,Momos,3,396.99,52,4.00,4.50,
ZM100751,12/4/2025,3:27:00 PM,Barbeque Nation,Fast Food,CUST4450,DP735,Cancelled by Customer,Farmhouse Pizza,,,,,,Found cheaper elsewhere
ZM100455,11/22/2025,8:10:00 AM,Chianti,Biryani,CUST2121,DP593,Delivered,Momos,3,342.05,54,4.60,3.80,
ZM100636,11/19/2025,3:22:00 AM,Beijing Bites,Thai,CUST2758,DP592,Delivered,Sandwich,4,405.84,57,3.40,4.30,
ZM100632,12/12/2025,4:31:00 PM,Koshy’s,North Indian,CUST5145,DP522,Delivered,Chicken Tikka,1,145.58,52,4.20,3.90,
ZM100304,11/23/2025,6:52:00 AM,McDonald's,Fast Food,CUST3320,DP896,Delivered,Tacos,2,836.65,40,3.10,3.30,
ZM100006,11/13/2025,11:19:00 PM,Truffles,Biryani,CUST4598,DP850,Delivered,Pasta Alfredo,2,536.63,35,3.30,3.80,
ZM100790,12/12/2025,2:31:00 AM,Empire Restaurant,Thai,CUST3333,DP648,Cancelled by Customer,Chicken Biryani,,,,,,Found cheaper elsewhere
ZM100950,11/22/2025,5:34:00 AM,Tunday Kababi,South Indian,CUST7968,DP981,Cancelled by Partner,Margherita Pizza,,,,,,Personal emergency
ZM100852,11/29/2025,4:07:00 AM,Beijing Bites,South Indian,CUST6298,DP588,Cancelled by Customer,Farmhouse Pizza,,,,,,Ordered by mistake
ZM100814,11/30/2025,7:47:00 PM,Onesta,Thai,CUST3445,DP943,Cancelled by Customer,Momos,,,,,,Change of mind
ZM100655,12/11/2025,10:08:00 AM,Five Star Chicken,Bakery,CUST6518,DP639,Delivered,Momos,2,607.17,25,4.40,4.20,
ZM100469,12/7/2025,12:38:00 AM,Leon Grill,Fast Food,CUST7348,DP597,Delivered,Momos,2,370.14,24,4.30,4.10,
ZM100183,11/27/2025,11:54:00 AM,Burger King,American,CUST6654,DP988,Delivered,Margherita Pizza,1,567.31,54,3.80,5.00,
ZM100382,12/2/2025,3:55:00 PM,McDonald's,North Indian,CUST9037,DP904,Delivered,Paneer Butter Masala,3,585.57,60,4.20,4.30,
ZM100828,11/27/2025,2:20:00 AM,Beijing Bites,Chinese,CUST4369,DP658,Cancelled by Customer,Sandwich,,,,,,Delivery too far
ZM100955,11/25/2025,1:53:00 PM,WOW Momo,South Indian,CUST6464,DP898,Cancelled by Partner,Farmhouse Pizza,,,,,,Vehicle issue
ZM100558,12/9/2025,8:36:00 PM,Little Italy,Biryani,CUST4869,DP748,Delivered,Tacos,2,634.14,43,4.60,3.50,
ZM100439,12/9/2025,9:12:00 AM,Barbeque Nation,Thai,CUST7906,DP755,Delivered,Burger Combo,4,272.93,29,3.90,3.00,
ZM100872,12/7/2025,4:04:00 PM,Koshy’s,Thai,CUST8101,DP889,Cancelled by Restaurant,Noodles,,,,,,Kitchen closed
ZM100625,11/20/2025,4:37:00 AM,Taco Bell,Chinese,CUST5749,DP649,Delivered,Veg Biryani,3,401.71,60,4.80,3.70,
ZM100870,11/29/2025,6:01:00 AM,Barbeque Nation,American,CUST8344,DP995,Cancelled by Restaurant,Margherita Pizza,,,,,,High demand
ZM100532,12/3/2025,9:26:00 AM,Burger King,Fast Food,CUST1249,DP990,Delivered,Momos,4,643.48,37,3.30,3.50,
ZM100695,11/21/2025,3:16:00 AM,Taco Bell,Thai,CUST7931,DP546,Delivered,Chicken Tikka,4,467.45,44,4.00,4.10,
ZM100268,11/24/2025,12:17:00 AM,Leon Grill,Chinese,CUST8248,DP940,Delivered,Chicken Wings,3,683.50,60,4.50,4.80,
ZM100427,11/16/2025,9:26:00 AM,Barbeque Nation,Biryani,CUST9294,DP554,Delivered,Chicken Tikka,4,845.18,56,3.00,3.40,
ZM100124,11/20/2025,12:21:00 PM,Truffles,Bakery,CUST6083,DP881,Delivered,Sandwich,1,309.79,57,3.80,3.20,
ZM100566,11/23/2025,10:24:00 PM,Beijing Bites,Biryani,CUST7159,DP836,Delivered,Pasta Alfredo,1,672.30,27,3.20,4.20,
ZM100584,11/22/2025,8:15:00 PM,A2B - Adyar Ananda Bhavan,Bakery,CUST8379,DP710,Delivered,Tacos,4,660.04,33,3.30,3.50,
ZM100807,11/23/2025,11:28:00 AM,Tunday Kababi,Mexican,CUST7700,DP688,Cancelled by Customer,Burger Combo,,,,,,Delivery too far
ZM100771,12/2/2025,1:51:00 AM,Chianti,Italian,CUST8184,DP891,Cancelled by Customer,Chicken Biryani,,,,,,Found cheaper elsewhere
ZM100587,12/5/2025,3:50:00 PM,Beijing Bites,American,CUST8772,DP754,Delivered,Veg Biryani,2,207.89,29,4.40,4.90,
ZM100084,12/6/2025,11:48:00 PM,Barbeque Nation,Biryani,CUST7246,DP697,Delivered,Burger Combo,2,787.69,46,3.10,4.50,
ZM100453,11/18/2025,4:17:00 PM,A2B - Adyar Ananda Bhavan,North Indian,CUST7121,DP596,Delivered,Momos,4,742.41,58,3.50,3.00,
ZM100676,11/16/2025,7:28:00 PM,Barbeque Nation,North Indian,CUST3764,DP525,Delivered,Veg Biryani,2,827.34,49,3.40,4.40,
ZM100064,12/6/2025,10:46:00 AM,KFC,Thai,CUST9595,DP805,Delivered,Momos,2,269.40,50,3.60,4.20,
ZM100028,12/3/2025,8:52:00 PM,Chianti,North Indian,CUST2891,DP955,Delivered,Pasta Alfredo,3,846.77,26,4.90,3.30,
ZM100592,11/30/2025,12:44:00 PM,McDonald's,Mexican,CUST1977,DP643,Delivered,Tacos,2,612.98,37,3.40,3.30,
ZM100940,11/17/2025,6:05:00 PM,Truffles,Thai,CUST9830,DP865,Cancelled by Restaurant,Sandwich,,,,,,Kitchen closed
ZM100201,11/14/2025,1:03:00 PM,Tunday Kababi,Bakery,CUST2943,DP591,Delivered,Burger Combo,1,652.53,54,3.30,4.70,
ZM100336,12/2/2025,9:27:00 AM,Biriyani Zone,American,CUST7620,DP838,Delivered,Chicken Tikka,2,523.49,35,4.80,4.60,
ZM100246,12/12/2025,8:57:00 PM,Beijing Bites,Mexican,CUST2025,DP795,Delivered,Noodles,4,423.29,33,3.40,4.50,
ZM100100,12/10/2025,9:41:00 PM,Tunday Kababi,American,CUST9071,DP559,Delivered,Pasta Alfredo,4,211.01,22,4.90,3.60,
ZM100944,12/3/2025,12:24:00 PM,Little Italy,Bakery,CUST1001,DP627,Cancelled by Restaurant,Pasta Alfredo,,,,,,High demand
ZM100880,11/29/2025,8:42:00 AM,Taco Bell,Thai,CUST9005,DP825,Cancelled by Restaurant,Tacos,,,,,,High demand
ZM100794,11/22/2025,3:47:00 AM,Beijing Bites,American,CUST4934,DP689,Cancelled by Customer,Chicken Wings,,,,,,Found cheaper elsewhere
ZM100848,12/5/2025,12:47:00 PM,Beijing Bites,South Indian,CUST7908,DP514,Cancelled by Customer,Veg Biryani,,,,,,Ordered by mistake
ZM100059,11/22/2025,9:13:00 AM,Leon Grill,Thai,CUST2419,DP642,Delivered,Momos,4,482.60,57,3.50,4.70,
ZM100335,12/9/2025,12:15:00 AM,Chianti,Fast Food,CUST5529,DP827,Delivered,Fried Rice,3,352.81,26,4.00,3.70,
ZM100959,12/4/2025,8:44:00 PM,Meghana Foods,Chinese,CUST7382,DP592,Cancelled by Partner,Farmhouse Pizza,,,,,,Vehicle issue
ZM100445,11/13/2025,2:26:00 AM,Truffles,Chinese,CUST7479,DP638,Delivered,Farmhouse Pizza,2,364.52,38,4.40,4.20,
ZM100015,11/25/2025,5:38:00 AM,Biriyani Zone,Thai,CUST6107,DP704,Delivered,Sandwich,4,872.20,54,4.50,4.40,
ZM100856,11/13/2025,7:25:00 PM,Biriyani Zone,South Indian,CUST6314,DP823,Cancelled by Customer,Noodles,,,,,,Ordered by mistake
ZM100060,11/14/2025,3:23:00 PM,Barbeque Nation,Mexican,CUST4475,DP681,Delivered,Noodles,4,382.39,51,4.70,3.40,
ZM100155,12/8/2025,2:17:00 AM,Barbeque Nation,Fast Food,CUST7077,DP690,Delivered,Farmhouse Pizza,4,860.58,22,4.20,4.40,
ZM100593,12/8/2025,3:47:00 AM,Tunday Kababi,Mexican,CUST3784,DP795,Delivered,Burger Combo,2,713.06,34,4.80,4.20,
ZM100496,12/1/2025,11:21:00 PM,Taco Bell,Fast Food,CUST5221,DP949,Delivered,Pasta Alfredo,3,304.24,52,3.60,3.10,
ZM100752,11/23/2025,11:12:00 AM,McDonald's,North Indian,CUST8807,DP502,Cancelled by Customer,Noodles,,,,,,Change of mind
ZM100717,11/19/2025,9:58:00 AM,Tunday Kababi,Thai,CUST4307,DP724,Delivered,Chicken Wings,1,240.35,43,3.70,3.30,
ZM100522,11/22/2025,6:52:00 AM,A2B - Adyar Ananda Bhavan,American,CUST2865,DP851,Delivered,Momos,1,360.06,52,4.10,4.50,
ZM100720,11/28/2025,5:37:00 PM,Taco Bell,North Indian,CUST6157,DP705,Delivered,Chicken Wings,2,720.72,53,4.90,3.20,
ZM100775,12/11/2025,10:03:00 AM,Paradise Biryani,South Indian,CUST7735,DP619,Cancelled by Customer,Noodles,,,,,,Delivery too far
ZM100586,11/29/2025,12:09:00 AM,Burger King,Italian,CUST9842,DP759,Delivered,Chicken Tikka,1,889.55,26,4.20,4.70,
ZM100008,11/22/2025,5:02:00 PM,Paradise Biryani,Mexican,CUST8019,DP959,Delivered,Paneer Butter Masala,3,228.91,55,4.10,4.50,
ZM100497,11/30/2025,1:00:00 AM,Burger King,American,CUST7262,DP766,Delivered,Chicken Tikka,2,386.59,45,4.30,3.20,
ZM100612,12/2/2025,11:44:00 AM,McDonald's,Fast Food,CUST9182,DP893,Delivered,Chicken Wings,2,536.24,27,4.80,3.80,
ZM100460,11/30/2025,12:25:00 AM,KFC,Italian,CUST2539,DP766,Delivered,Burger Combo,4,312.79,22,3.40,4.50,
ZM100447,12/4/2025,11:55:00 PM,Truffles,Italian,CUST1881,DP513,Delivered,Paneer Butter Masala,4,200.35,24,4.90,3.90,
ZM100294,12/6/2025,1:40:00 PM,Taco Bell,South Indian,CUST8265,DP914,Delivered,Noodles,3,835.59,24,3.00,3.10,
ZM100165,11/24/2025,5:15:00 AM,Little Italy,Biryani,CUST2330,DP523,Delivered,Tacos,3,777.17,56,3.10,4.70,
ZM100406,11/22/2025,11:03:00 AM,KFC,Thai,CUST7171,DP834,Delivered,Pasta Alfredo,3,771.20,36,4.20,4.10,
ZM100234,11/30/2025,11:20:00 AM,Leon Grill,Bakery,CUST3230,DP653,Delivered,Momos,3,463.37,47,4.60,4.70,
ZM100574,11/15/2025,11:36:00 AM,Truffles,Mexican,CUST4129,DP653,Delivered,Momos,3,625.28,31,4.10,4.90,
ZM100472,11/27/2025,5:56:00 PM,Leon Grill,Biryani,CUST4419,DP835,Delivered,Margherita Pizza,1,405.76,58,4.40,3.00,
ZM100025,11/23/2025,1:21:00 AM,Leon Grill,South Indian,CUST5351,DP702,Delivered,Burger Combo,3,849.07,33,4.30,3.60,
ZM100778,11/26/2025,11:12:00 AM,Beijing Bites,South Indian,CUST1201,DP804,Cancelled by Customer,Chicken Biryani,,,,,,Wrong address entered
ZM100149,12/7/2025,4:36:00 AM,Truffles,Mexican,CUST6080,DP763,Delivered,Veg Biryani,3,277.24,32,4.80,3.60,
ZM100831,12/10/2025,1:37:00 PM,Barbeque Nation,Thai,CUST9043,DP735,Cancelled by Customer,Farmhouse Pizza,,,,,,Wrong address entered
ZM100097,11/15/2025,11:33:00 AM,KFC,Mexican,CUST7511,DP995,Delivered,Chicken Biryani,2,708.24,34,4.70,4.40,
ZM100572,12/12/2025,5:35:00 PM,Onesta,Mexican,CUST8898,DP562,Delivered,Burger Combo,4,778.36,24,4.10,3.00,
ZM100318,11/18/2025,11:46:00 PM,KFC,South Indian,CUST1999,DP930,Delivered,Pasta Alfredo,3,750.38,46,4.90,4.20,
ZM100933,11/30/2025,4:40:00 PM,Leon Grill,Chinese,CUST7150,DP897,Cancelled by Restaurant,Pasta Alfredo,,,,,,Kitchen closed
ZM100578,11/21/2025,6:18:00 PM,McDonald's,Biryani,CUST1750,DP624,Delivered,Chicken Tikka,1,148.76,29,4.00,3.00,
ZM100449,12/5/2025,9:41:00 AM,Tunday Kababi,Chinese,CUST8801,DP739,Delivered,Paneer Butter Masala,2,142.29,42,4.70,3.70,
ZM100951,11/20/2025,4:53:00 AM,Beijing Bites,South Indian,CUST5413,DP824,Cancelled by Partner,Pasta Alfredo,,,,,,Customer unreachable
ZM100787,12/3/2025,2:17:00 PM,Little Italy,South Indian,CUST1691,DP753,Cancelled by Customer,Chicken Wings,,,,,,Found cheaper elsewhere
ZM100212,11/15/2025,11:21:00 AM,A2B - Adyar Ananda Bhavan,North Indian,CUST4974,DP856,Delivered,Chicken Tikka,2,870.42,27,4.50,4.50,
ZM100366,11/22/2025,12:36:00 AM,KFC,Bakery,CUST5990,DP955,Delivered,Burger Combo,1,554.56,20,4.70,4.60,
ZM100925,11/29/2025,11:08:00 PM,Taco Bell,Bakery,CUST2176,DP770,Cancelled by Restaurant,Burger Combo,,,,,,Kitchen closed
ZM100608,12/2/2025,2:03:00 PM,Five Star Chicken,Fast Food,CUST5982,DP790,Delivered,Pasta Alfredo,3,499.20,53,4.70,3.90,
ZM100552,12/1/2025,1:08:00 AM,Meghana Foods,Biryani,CUST9624,DP939,Delivered,Chicken Wings,3,208.27,50,4.90,3.20,
ZM100343,11/14/2025,3:37:00 PM,McDonald's,Fast Food,CUST6134,DP824,Delivered,Sandwich,2,727.57,51,3.70,5.00,
ZM100732,11/26/2025,4:01:00 AM,Beijing Bites,Mexican,CUST7694,DP556,Delivered,Chicken Wings,1,702.27,55,3.70,4.90,
ZM100605,11/23/2025,12:33:00 PM,Truffles,Italian,CUST2791,DP584,Delivered,Chicken Wings,1,182.53,31,3.60,4.90,
ZM100620,11/13/2025,8:09:00 PM,Paradise Biryani,South Indian,CUST3243,DP602,Delivered,Veg Biryani,4,618.27,37,3.80,4.10,
ZM100302,11/24/2025,12:57:00 AM,Taco Bell,Biryani,CUST9064,DP777,Delivered,Noodles,2,559.22,32,4.70,4.60,
ZM100699,11/26/2025,2:30:00 PM,Koshy’s,South Indian,CUST2866,DP879,Delivered,Chicken Wings,3,397.26,57,3.20,4.00,
ZM100116,11/13/2025,10:27:00 PM,Biriyani Zone,North Indian,CUST3972,DP945,Delivered,Paneer Butter Masala,3,668.11,39,4.80,3.70,
ZM100764,11/29/2025,9:52:00 PM,WOW Momo,Bakery,CUST7666,DP640,Cancelled by Customer,Sandwich,,,,,,Change of mind
ZM100516,11/13/2025,2:59:00 AM,Meghana Foods,South Indian,CUST3906,DP994,Delivered,Burger Combo,2,245.84,38,4.20,4.40,
ZM100283,11/17/2025,5:36:00 PM,Meghana Foods,Bakery,CUST1130,DP688,Delivered,Chicken Biryani,4,795.51,39,3.70,4.10,
ZM100875,11/30/2025,3:49:00 PM,Tunday Kababi,American,CUST8878,DP536,Cancelled by Restaurant,Burger Combo,,,,,,Kitchen closed
ZM100388,11/18/2025,6:21:00 PM,Burger King,North Indian,CUST7950,DP927,Delivered,Pasta Alfredo,1,284.41,60,4.50,4.70,
ZM100922,11/16/2025,7:21:00 AM,A2B - Adyar Ananda Bhavan,Bakery,CUST6458,DP578,Cancelled by Restaurant,Veg Biryani,,,,,,Kitchen closed
ZM100328,11/27/2025,5:37:00 PM,Taco Bell,North Indian,CUST9589,DP950,Delivered,Fried Rice,2,171.18,52,3.80,4.60,
ZM100093,11/16/2025,10:28:00 PM,Paradise Biryani,American,CUST4770,DP810,Delivered,Veg Biryani,1,830.28,51,4.70,4.80,
ZM100260,11/17/2025,3:10:00 AM,Paradise Biryani,Thai,CUST1040,DP944,Delivered,Tacos,3,661.87,43,3.90,4.00,
ZM100803,11/30/2025,9:46:00 PM,Meghana Foods,Italian,CUST4325,DP731,Cancelled by Customer,Chicken Tikka,,,,,,Wrong address entered
ZM100881,11/20/2025,12:34:00 PM,Meghana Foods,Bakery,CUST5043,DP624,Cancelled by Restaurant,Burger Combo,,,,,,High demand
ZM100776,11/15/2025,8:27:00 PM,Empire Restaurant,Mexican,CUST8605,DP907,Cancelled by Customer,Burger Combo,,,,,,Wrong address entered
ZM100340,11/21/2025,11:27:00 AM,Truffles,Italian,CUST7089,DP633,Delivered,Farmhouse Pizza,2,700.48,39,3.80,4.80,
ZM100480,11/25/2025,5:27:00 PM,Burger King,Biryani,CUST7014,DP955,Delivered,Noodles,2,193.54,49,3.70,3.30,
ZM100252,12/8/2025,6:39:00 AM,Paradise Biryani,Thai,CUST9006,DP585,Delivered,Fried Rice,4,439.12,51,3.80,4.70,
ZM100324,12/9/2025,7:12:00 PM,KFC,American,CUST8750,DP519,Delivered,Sandwich,3,804.76,36,3.80,4.00,
ZM100483,11/18/2025,1:54:00 AM,WOW Momo,Fast Food,CUST1187,DP824,Delivered,Sandwich,4,444.89,27,4.70,3.50,
ZM100901,11/23/2025,4:11:00 AM,Biriyani Zone,Italian,CUST8404,DP816,Cancelled by Restaurant,Farmhouse Pizza,,,,,,High demand
